model,optimizer,epoch,train_loss,val_acc_%,epoch_time_sec,cum_time_sec
resnet,dion,72,1.0099846611217576,87.6,19.6686954498291,1665.0443723201752
resnet,dion,73,1.0104288422331518,87.69,23.567821502685547,1688.6121938228607
resnet,dion,74,1.0091133275810553,87.65,17.526665925979614,1706.1388597488403
resnet,dion,75,1.004956070257693,87.69,18.828206062316895,1724.9670658111572
resnet,dion,76,1.005895190092982,87.53,20.47045111656189,1745.4375169277191
resnet,dion,77,1.0021999040428473,87.55,16.903151273727417,1762.3406682014465
resnet,dion,78,1.005233188064731,87.52,18.731069803237915,1781.0717380046844
resnet,dion,79,1.0012836809061012,87.55,17.208425283432007,1798.2801632881165
resnet,dion,80,1.0104713330463486,87.63,18.56736922264099,1816.8475325107574
resnet,muon,1,2.532825309403089,9.97,37.31304669380188,37.31304669380188
resnet,muon,2,2.0607846610400142,46.86,21.642107725143433,58.95515441894531
resnet,muon,3,1.7342079172329026,53.88,29.66712188720703,88.62227630615234
resnet,muon,4,1.571406447157568,63.58,32.376424074172974,120.99870038032532
resnet,muon,5,1.457022258213588,54.82,30.126914501190186,151.1256148815155
resnet,muon,6,1.3729441579507322,68.19,35.06216287612915,186.18777775764465
resnet,muon,7,1.3051690471415618,73.03,31.23517155647278,217.42294931411743
resnet,muon,8,1.2700858286448888,73.71,28.9586341381073,246.38158345222473
resnet,muon,9,1.225041272688885,72.98,33.47627878189087,279.8578622341156
resnet,muon,10,1.1915873848662084,73.07,29.31752920150757,309.17539143562317
resnet,muon,11,1.1647435378055184,77.81,30.978333711624146,340.1537251472473
resnet,muon,12,1.1344734284342552,80.3,33.82988882064819,373.9836139678955
resnet,muon,13,1.117432830285053,80.62,33.71460962295532,407.69822359085083
resnet,muon,14,1.1020281801418381,83.58,29.70394539833069,437.4021689891815
resnet,muon,15,1.080040496222827,80.41,29.054226636886597,466.4563956260681
resnet,muon,16,1.0617565549149806,83.54,35.976723432540894,502.433119058609
resnet,muon,17,1.050241152850949,81.98,31.939263582229614,534.3723826408386
resnet,muon,18,1.0305226189749581,86.14,30.37005305290222,564.7424356937408
resnet,muon,19,1.0257325877948684,83.22,34.26365065574646,599.0060863494873
resnet,muon,20,1.0126817846784786,85.13,30.75832772254944,629.7644140720367
resnet,muon,21,0.9925771209658408,86.22,36.72566199302673,666.4900760650635
resnet,muon,22,0.9883700110474412,87.44,29.221562147140503,695.711638212204
resnet,muon,23,0.9806170791995769,86.63,30.95224165916443,726.6638798713684
resnet,muon,24,0.9707385715173216,88.15,38.19569802284241,764.8595778942108
resnet,muon,25,0.958921129606208,86.21,34.65236473083496,799.5119426250458
resnet,muon,26,0.952383276151151,89.16,30.771579027175903,830.2835216522217
resnet,muon,27,0.947711166070432,89.27,34.92317485809326,865.2066965103149
resnet,muon,28,0.9324825977792546,89.29,29.12035059928894,894.3270471096039
resnet,muon,29,0.929708121990671,89.51,28.72551131248474,923.0525584220886
resnet,muon,30,0.9219511650046524,89.18,28.560670614242554,951.6132290363312
resnet,muon,31,0.9093798313822065,88.17,35.40882396697998,987.0220530033112
resnet,muon,32,0.9085571656421739,90.12,31.861809015274048,1018.8838620185852
resnet,muon,33,0.8990759375144024,90.59,26.170732498168945,1045.0545945167542
resnet,muon,34,0.8947455092352263,89.48,37.94443368911743,1082.9990282058716
resnet,muon,35,0.8885502535469678,89.83,30.85921001434326,1113.8582382202148
resnet,muon,36,0.8776165100992942,90.01,29.976939916610718,1143.8351781368256
resnet,muon,37,0.8736370254536064,89.47,34.698660135269165,1178.5338382720947
resnet,muon,38,0.8701284539942838,90.35,33.16187787055969,1211.6957161426544
resnet,muon,39,0.8653987986700875,90.25,29.073315382003784,1240.7690315246582
resnet,muon,40,0.8557278890998996,90.93,27.76289439201355,1268.5319259166718
resnet,muon,41,0.854056715965271,91.7,34.751991748809814,1303.2839176654816
resnet,muon,42,0.8481198987182306,91.76,32.45645999908447,1335.740377664566
resnet,muon,43,0.8458406535946593,91.76,35.72654461860657,1371.4669222831726
resnet,muon,44,0.8428540874500664,91.37,33.81477236747742,1405.28169465065
resnet,muon,45,0.8386783587689303,91.1,29.028780460357666,1434.3104751110077
resnet,muon,46,0.8323576048928865,92.02,36.33964014053345,1470.6501152515411
resnet,muon,47,0.8234823260988507,91.83,31.271289110183716,1501.9214043617249
resnet,muon,48,0.8196661776425888,92.25,27.753524780273438,1529.6749291419983
resnet,muon,49,0.8170278327805656,92.39,36.69195294380188,1566.3668820858002
resnet,muon,50,0.8096679959978376,91.07,32.36843299865723,1598.7353150844574
resnet,muon,51,0.8032893976386712,92.76,31.802121877670288,1630.5374369621277
resnet,muon,52,0.8079346941441906,92.51,33.507091760635376,1664.044528722763
resnet,muon,53,0.8007553414422639,92.43,33.8034873008728,1697.8480160236359
resnet,muon,54,0.7986495920589992,92.91,29.558838605880737,1727.4068546295166
resnet,muon,55,0.7983911840283141,92.89,32.29113578796387,1759.6979904174805
resnet,muon,56,0.7902125850015757,92.77,31.391456365585327,1791.0894467830658
resnet,muon,57,0.7884212051119123,93.3,36.22503590583801,1827.3144826889038
resnet,muon,58,0.7873375756399972,92.96,30.3002507686615,1857.6147334575653
resnet,muon,59,0.7836165817416444,93.39,30.74001908302307,1888.3547525405884
resnet,muon,60,0.7773124952705539,93.55,29.174859762191772,1917.5296123027802
resnet,muon,61,0.7832326560604329,93.65,33.383355140686035,1950.9129674434662
resnet,muon,62,0.7748916088318338,93.74,38.84601092338562,1989.7589783668518
resnet,muon,63,0.7766318564512291,93.48,31.963879346847534,2021.7228577136993
resnet,muon,64,0.7714381655868219,93.74,35.91145467758179,2057.634312391281
resnet,muon,65,0.7662592323458924,93.65,27.709241151809692,2085.343553543091
resnet,muon,66,0.7702695569213556,93.58,29.62716770172119,2114.970721244812
resnet,muon,67,0.7655201116386725,93.59,26.28453540802002,2141.255256652832
resnet,muon,68,0.7646083503353353,93.8,25.97158932685852,2167.2268459796906
resnet,muon,69,0.7626612673000414,93.68,31.320117473602295,2198.546963453293
resnet,muon,70,0.7611124418219741,93.76,31.105357885360718,2229.6523213386536
resnet,muon,71,0.7548617234035414,93.85,24.91914939880371,2254.5714707374573
resnet,muon,72,0.7535785582600808,93.89,28.285015106201172,2282.8564858436584
resnet,muon,73,0.7549699350279204,93.96,28.18480134010315,2311.0412871837616
resnet,muon,74,0.7538424912764101,93.93,24.047702312469482,2335.088989496231
resnet,muon,75,0.7560574898914415,93.94,28.125922441482544,2363.2149119377136
resnet,muon,76,0.7525237531078105,93.96,27.071285247802734,2390.2861971855164
resnet,muon,77,0.7544623455222772,93.87,27.964924097061157,2418.2511212825775
resnet,muon,78,0.7535606938965467,93.86,26.8499276638031,2445.1010489463806
resnet,muon,79,0.7483608710522555,93.88,24.504626274108887,2469.6056752204895
resnet,muon,80,0.7561894837690859,93.87,27.444272756576538,2497.049947977066
resnet,scion,1,2.5338457409216435,9.97,42.82762432098389,42.82762432098389
resnet,scion,2,2.0498526972167346,36.49,25.191855669021606,68.0194799900055
resnet,scion,3,1.7852288752186054,46.38,20.868314504623413,88.8877944946289
resnet,scion,4,1.6291477899162137,56.92,22.094465970993042,110.98226046562195
resnet,scion,5,1.515236421507232,60.53,19.583574771881104,130.56583523750305
resnet,scion,6,1.4297952116752157,68.5,21.374651432037354,151.9404866695404
resnet,scion,7,1.3622469074872074,71.92,25.431573390960693,177.3720600605011
resnet,scion,8,1.3106384520628014,75.29,19.582239866256714,196.9542999267578
resnet,scion,9,1.2536469478996433,70.41,19.188642263412476,216.1429421901703
resnet,scion,10,1.227869223575203,76.2,21.182234525680542,237.32517671585083
resnet,scion,11,1.1950567060587358,79.36,19.10974669456482,256.43492341041565
resnet,scion,12,1.159797417874239,77.62,21.361162900924683,277.79608631134033
resnet,scion,13,1.140769287031524,80.27,21.330650806427002,299.12673711776733
resnet,scion,14,1.1156406232288905,80.1,21.8645658493042,320.99130296707153
resnet,scion,15,1.10308212163497,81.62,22.877376556396484,343.868679523468
resnet,scion,16,1.0774788515908378,83.24,29.046185970306396,372.9148654937744
resnet,scion,17,1.0643136282356418,83.16,21.44463348388672,394.35949897766113
resnet,scion,18,1.0447366091669823,81.96,19.541961193084717,413.90146017074585
resnet,scion,19,1.0359691442275534,82.29,19.64491868019104,433.5463788509369
resnet,scion,20,1.0237007384397545,84.44,22.988401174545288,456.5347800254822
resnet,scion,21,1.0129189941347863,84.56,22.00563931465149,478.54041934013367
resnet,scion,22,0.9955546186894787,86.83,20.699408292770386,499.23982763290405
resnet,scion,23,0.9929147958755493,87.25,19.408567190170288,518.6483948230743
resnet,scion,24,0.9801128190390918,87.7,18.76264786720276,537.4110426902771
resnet,scion,25,0.9682839111405976,87.51,21.24242854118347,558.6534712314606
resnet,scion,26,0.9648894448669589,87.54,19.236307859420776,577.8897790908813
resnet,scion,27,0.9551529531576195,87.77,20.591724157333374,598.4815032482147
resnet,scion,28,0.9444222815182745,86.39,24.074527740478516,622.5560309886932
resnet,scion,29,0.9376886669470339,87.39,25.852452754974365,648.4084837436676
resnet,scion,30,0.9310494941108081,87.7,26.024828672409058,674.4333124160767
resnet,scion,31,0.9167123692376273,89.15,21.74168586730957,696.1749982833862
resnet,scion,32,0.9099506589831138,89.2,22.930347442626953,719.1053457260132
resnet,scion,33,0.9058616270824354,89.66,19.329049825668335,738.4343955516815
resnet,scion,34,0.9017345053809029,84.3,19.218798637390137,757.6531941890717
resnet,scion,35,0.8926269898609239,90.41,19.425941467285156,777.0791356563568
resnet,scion,36,0.8845702798999086,90.57,20.436922073364258,797.5160577297211
resnet,scion,37,0.8821363911336783,89.81,20.40561008453369,817.9216678142548
resnet,scion,38,0.872491826816481,90.92,20.37247109413147,838.2941389083862
resnet,scion,39,0.867884424267983,89.41,20.32655096054077,858.620689868927
resnet,scion,40,0.864895583415518,91.38,22.634077548980713,881.2547674179077
resnet,scion,41,0.853829067580554,90.65,21.396674394607544,902.6514418125153
resnet,scion,42,0.8505161526251812,91.9,19.521966695785522,922.1734085083008
resnet,scion,43,0.8445770497224769,91.47,25.615524768829346,947.7889332771301
resnet,scion,44,0.8427989434222786,91.34,28.052778244018555,975.8417115211487
resnet,scion,45,0.8370357034157734,91.95,21.23460292816162,997.0763144493103
resnet,scion,46,0.8338451713931804,91.59,20.60330367088318,1017.6796181201935
resnet,scion,47,0.8271012817110334,91.62,23.087130546569824,1040.7667486667633
resnet,scion,48,0.8163130161713581,92.15,19.560184717178345,1060.3269333839417
resnet,scion,49,0.8149304365625187,92.88,18.049975156784058,1078.3769085407257
resnet,scion,50,0.8088632992335728,91.63,17.770657539367676,1096.1475660800934
resnet,scion,51,0.8106285163334438,92.44,15.083365201950073,1111.2309312820435
resnet,scion,52,0.8097176442340929,92.44,22.338078022003174,1133.5690093040466
resnet,scion,53,0.8010643501670993,91.61,17.57980442047119,1151.1488137245178
resnet,scion,54,0.7984277362726173,92.74,15.979593753814697,1167.1284074783325
resnet,scion,55,0.7919124085076001,92.72,16.436399459838867,1183.5648069381714
resnet,scion,56,0.7954626423971993,93.42,14.74759578704834,1198.3124027252197
resnet,scion,57,0.7856054439836618,93.32,15.939245223999023,1214.2516479492188
resnet,scion,58,0.783167128660241,93.69,14.36397910118103,1228.6156270503998
resnet,scion,59,0.7765443689969121,93.44,16.382120847702026,1244.9977478981018
resnet,scion,60,0.7747790448519648,93.53,14.984615087509155,1259.982362985611
resnet,scion,61,0.7736201395793837,93.43,14.225818395614624,1274.2081813812256
resnet,scion,62,0.7694921116439664,94.03,14.308851957321167,1288.5170333385468
resnet,scion,63,0.7702498302167776,93.63,13.423463344573975,1301.9404966831207
resnet,scion,64,0.7636588106350023,93.77,14.543700218200684,1316.4841969013214
resnet,scion,65,0.7621402193088921,94.01,13.585272312164307,1330.0694692134857
resnet,scion,66,0.7563159100863398,93.79,15.48997163772583,1345.5594408512115
resnet,scion,67,0.7581834999882445,93.95,13.99276351928711,1359.5522043704987
resnet,scion,68,0.7558934639911262,94.06,13.69849967956543,1373.250704050064
resnet,scion,69,0.7595597736689509,94.14,14.979809284210205,1388.2305133342743
resnet,scion,70,0.7516766750082677,94.05,14.028204917907715,1402.258718252182
resnet,scion,71,0.7460098096302578,94.24,13.868261337280273,1416.1269795894623
resnet,scion,72,0.7538188282324343,94.16,13.250141382217407,1429.3771209716797
resnet,scion,73,0.7488278697948066,94.09,14.376958131790161,1443.7540791034698
resnet,scion,74,0.7566936745935556,94.08,13.54406476020813,1457.298143863678
resnet,scion,75,0.748565288222566,94.27,14.943382740020752,1472.2415266036987
resnet,scion,76,0.7482659135546003,94.14,14.085575103759766,1486.3271017074585
resnet,scion,77,0.740637617451804,94.23,16.196128606796265,1502.5232303142548
resnet,scion,78,0.7472904361024195,94.24,14.03659701347351,1516.5598273277283
resnet,scion,79,0.7468472269116616,94.18,14.154029607772827,1530.713856935501
resnet,scion,80,0.7508592702904526,94.23,13.858962059020996,1544.572818994522
vit,adam,1,3.413118737084525,9.27,22.352652311325073,22.352652311325073
vit,adam,2,2.3773814804699955,25.54,24.232019186019897,46.58467149734497
vit,adam,3,2.0757068249644064,35.97,23.072792530059814,69.65746402740479
vit,adam,4,1.9789100934048087,41.61,22.598618984222412,92.2560830116272
vit,adam,5,1.8958221941578144,47.75,28.165255784988403,120.4213387966156
vit,adam,6,1.8286098339119736,51.37,23.599543571472168,144.02088236808777
vit,adam,7,1.783214970510833,53.51,22.849529504776,166.87041187286377
vit,adam,8,1.7479643359476207,54.92,19.217145681381226,186.087557554245
vit,adam,9,1.7124455631995688,56.94,23.681248664855957,209.76880621910095
vit,adam,10,1.697775514758363,57.83,23.05733585357666,232.8261420726776
vit,adam,11,1.6638768035538343,59.23,18.182182788848877,251.0083248615265
vit,adam,12,1.6426608124557807,59.66,22.70044779777527,273.70877265930176
vit,adam,13,1.6215757520831362,60.37,23.93169355392456,297.6404662132263
vit,adam,14,1.5961758457884496,62.26,21.547631978988647,319.18809819221497
vit,adam,15,1.5787679005642326,62.85,20.703323364257812,339.8914215564728
vit,adam,16,1.5695008720670427,64.25,25.43052577972412,365.3219473361969
vit,adam,17,1.5516445880033531,65.95,23.06084156036377,388.38278889656067
vit,adam,18,1.5300023312471351,66.06,23.338805198669434,411.7215940952301
vit,adam,19,1.5135185402266833,66.98,22.56404709815979,434.2856411933899
vit,adam,20,1.5006282743142576,65.35,22.895552158355713,457.1811933517456
vit,adam,21,1.49344252566902,67.4,21.172518491744995,478.3537118434906
vit,adam,22,1.481917906780632,68.18,24.60052514076233,502.95423698425293
vit,adam,23,1.4655031574015716,69.35,26.938403367996216,529.8926403522491
vit,adam,24,1.4477017023125474,70.83,25.68036437034607,555.5730047225952
vit,adam,25,1.4329779002131249,70.9,20.97654628753662,576.5495510101318
vit,adam,26,1.4213088483226544,72.08,28.111054182052612,604.6606051921844
vit,adam,27,1.4148476537393064,71.27,22.737183332443237,627.3977885246277
vit,adam,28,1.4106902662588625,72.2,22.134567737579346,649.532356262207
vit,adam,29,1.393205856790348,72.43,18.682719945907593,668.2150762081146
vit,adam,30,1.3813472621294918,73.41,24.196981191635132,692.4120573997498
vit,adam,31,1.3739048193912118,73.51,32.27171063423157,724.6837680339813
vit,adam,32,1.3618294462865712,73.32,21.739034175872803,746.4228022098541
vit,adam,33,1.3552494413998661,74.55,22.968817949295044,769.3916201591492
vit,adam,34,1.3466172096680622,75.21,21.071019887924194,790.4626400470734
vit,adam,35,1.3315265665248948,75.57,23.88971757888794,814.3523576259613
vit,adam,36,1.32620649191798,75.28,23.14485812187195,837.4972157478333
vit,adam,37,1.3228387905626882,75.26,20.26881432533264,857.7660300731659
vit,adam,38,1.305640950494883,76.01,23.686041116714478,881.4520711898804
vit,adam,39,1.3103688760679595,75.57,25.012161016464233,906.4642322063446
vit,adam,40,1.29779906662143,76.28,19.82714557647705,926.2913777828217
vit,adam,41,1.2881399271439533,76.42,23.420424461364746,949.7118022441864
vit,adam,42,1.2807410347218415,77.09,22.729138612747192,972.4409408569336
vit,adam,43,1.2720471669216544,77.78,22.097113370895386,994.538054227829
vit,adam,44,1.2678330966404505,78.17,22.11860489845276,1016.6566591262817
